Hour_of_Day,Amount,V1,V2,V3,V4,V5,Merchant_Type,Location_Distance,Transaction_Frequency,Is_International,Device_Type,Class
0,674.6656428430294,1.474912403702164,-6.108958581,-0.239824697,1.2008732735427037,-0.629949763,Electronics,482.79689739851347,9,1,Mobile,1
0,1108.182212516268,-0.382658398,-1.216532848,-1.266718034,0.8449573725462101,1.1492079919083023,Online,90.22525262509893,8,0,Mobile,1
21,142.57986062289478,-1.138984598,-1.164763377,-2.385009218,3.121023604454618,-0.138186085,Travel,10.103568550239636,8,1,Desktop,1
3,408.69832412737026,1.5792648140214558,-1.973513496,0.7975704857409214,-0.162697536,1.3829658219308671,Online,85.29819376374446,6,1,Mobile,1
1,863.0094790029117,-1.428043937,-0.513303301,-2.519929455,2.5352966077577648,1.5798161857996735,Electronics,12.07577746114686,11,1,Mobile,1
22,92.63317363637381,-1.22222572,0.081227924,0.2707075954457206,0.079577021,0.3211516136236216,Retail,1.2328513459712203,2,0,Desktop,0
10,764.9389865605173,0.5316822146991387,-4.677908177,-1.089993673,-0.332066154,-0.108609519,Online,121.49956687124444,6,0,Mobile,1
0,177.38543170602316,-0.370337885,-2.346623004,-2.559755335,2.2283007668628687,1.7993759088954882,Electronics,0,7,0,Mobile,1
16,303.4193922960498,-2.17632753,-4.045969295,-0.810081727,1.407100574963171,-0.032678397,Online,156.0640452160501,12,0,Desktop,1
4,111.54996838370575,0.63695254,-0.709191273,0.7418382515930123,-0.196576987,1.030386807249995,Retail,14.079742270557979,0,0,Desktop,0
3,182.8706333377613,0.903684853,-3.658029524,-2.005547007,2.6041012711585227,-2.973915314,Electronics,122.4116335918343,9,1,Mobile,1
3,474.09805634201405,-0.600942312,-1.342274825,-0.864261423,2.2558323392838666,0.17304055664379323,Online,145.46172788863876,8,1,Mobile,1
18,203.89741266101996,-0.324350539,-1.736316911,-4.172538935,1.111394227,-0.360252649,Online,11.828328568192404,5,1,Mobile,1
2,10.579304350380319,0.45524287020813836,-2.410494064,-3.072360641,3.3606620966540968,-0.660276631,Online,0,11,0,Mobile,1
